"ABC","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default","","","","","","All image convert","slugimage","Slug url",""
"","variation","VINTAG-8262-10","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806003.jpg","","","VINTAG-8262","","","","","","10","Size","8.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-3.jpg","product-image-1856806003.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-3.jpg"
"","variation","VINTAG-8262-11","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","11","Size","9","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-12","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806003.jpg","","","VINTAG-8262","","","","","","12","Size","9","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-3.jpg","product-image-1856806003.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-3.jpg"
"","variation","VINTAG-8262-13","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","13","Size","10","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-14","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","14","Size","10","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-15","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","15","Size","10.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-16","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","16","Size","10.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-17","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","17","Size","11","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-18","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","18","Size","11","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-19","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","19","Size","11.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-20","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","20","Size","11.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-21","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","21","Size","12","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-22","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","22","Size","12","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
